6.951,881.237,86.236,-14.668,85.545,0.007
7.001,885.531,85.505,-14.571,85.603,0.013
7.051,889.788,84.779,-14.497,85.63,0.019
7.101,894.009,84.056,-14.417,85.635,0.024
7.151,898.194,83.336,-14.355,85.626,0.028
7.201,902.342,82.621,-14.26,85.621,0.031
7.251,906.456,81.91,-14.176,85.6,0.032
7.301,910.533,81.203,-14.103,85.546,0.031
7.351,914.576,80.5,-14.036,85.463,0.029
7.401,918.584,79.799,-13.972,85.366,0.025
7.451,922.556,79.103,-13.9,85.27,0.022
7.501,926.494,78.409,-13.843,85.18,0.017
7.551,930.397,77.719,-13.769,85.113,0.013
7.601,934.266,77.031,-13.724,85.076,0.011
7.651,938.1,76.347,-13.641,85.09,0.012
7.701,941.901,75.667,-13.559,85.142,0.015
7.751,945.667,74.992,-13.474,85.205,0.019
7.801,949.4,74.32,-13.396,85.246,0.024
7.851,953.099,73.652,-13.334,85.247,0.027
7.901,956.765,72.986,-13.275,85.207,0.031
7.951,960.398,72.324,-13.217,85.136,0.035
8.001,963.997,71.665,-13.162,85.041,0.035
8.051,967.564,71.008,-13.107,84.936,0.034
8.101,971.098,70.354,-13.056,84.831,0.031
8.151,974.6,69.703,-12.994,84.737,0.027
8.201,978.069,69.054,-12.939,84.654,0.024
8.251,981.505,68.409,-12.877,84.582,0.02
8.301,984.91,67.766,-12.829,84.52,0.018
8.351,988.282,67.126,-12.784,84.478,0.017
8.401,991.622,66.488,-12.724,84.47,0.018
8.451,994.931,65.853,-12.679,84.494,0.019
8.501,998.208,65.221,-12.6,84.554,0.021
8.551,1001.453,64.593,-12.542,84.624,0.022
8.601,1004.667,63.967,-12.482,84.69,0.024
8.651,1007.85,63.344,-12.427,84.742,0.026
8.701,1011.001,62.724,-12.369,84.771,0.028
8.751,1014.122,62.107,-12.325,84.768,0.029
8.801,1017.212,61.492,-12.281,84.742,0.028
8.851,1020.271,60.879,-12.242,84.702,0.028
8.901,1023.3,60.268,-12.192,84.661,0.028
8.951,1026.298,59.66,-12.135,84.615,0.028
9.001,1029.266,59.054,-12.089,84.553,0.028
9.051,1032.204,58.451,-12.043,84.473,0.027
9.101,1035.111,57.85,-12.004,84.376,0.027
9.151,1037.989,57.25,-11.969,84.271,0.027
9.201,1040.836,56.653,-11.918,84.169,0.028
9.251,1043.654,56.058,-11.878,84.064,0.028
9.26,1044.178,55.947,-11.87,84.044,0.028
9.274,1044.962,55.781,-11.858,84.014,0.028
9.295,1046.133,55.531,-11.839,83.969,0.029
9.327,1047.881,55.158,-11.815,83.902,0.029
9.374,1050.48,54.599,-11.779,83.803,0.03
9.424,1053.195,54.011,-11.737,83.704,0.03
9.474,1055.881,53.426,-11.702,83.612,0.03
9.524,1058.538,52.841,-11.673,83.531,0.031
9.574,1061.165,52.258,-11.634,83.476,0.03
9.624,1063.763,51.678,-11.595,83.45,0.03
9.674,1066.333,51.099,-11.559,83.449,0.029
9.724,1068.873,50.522,-11.516,83.48,0.028
9.774,1071.385,49.947,-11.468,83.534,0.028
9.824,1073.868,49.375,-11.422,83.6,0.028
9.874,1076.323,48.805,-11.377,83.665,0.028
9.924,1078.749,48.237,-11.333,83.717,0.029
